dataset,seed,method,tau,alpha,beta,AA,Macro_F1,OA,Kappa,NLL
Pingan,42,R1,2.0,,0.25,0.7565722349331347,0.6169564714945823,0.8735873850197109,0.8120963680515473,4.433251699001196
Pingan,42,R1,2.0,,0.5,0.7526478771727032,0.6075222168646418,0.8710176668126733,0.808382588303455,4.501787897310741
Pingan,42,R1,2.0,,0.75,0.748664281053322,0.598593437128835,0.8683603445758505,0.8045279617519989,4.5779380280129836
Pingan,42,R1,2.0,,1.0,0.7456154897654586,0.5907506334339503,0.8657322236822894,0.8007343523663559,4.661557869658064
Pingan,42,R1,2.0,,1.5,0.7303282896489192,0.5712377899925161,0.8587823039859833,0.7906764640790083,4.850550277100936
Pingan,42,R1,2.0,,2.0,0.7156049679802323,0.5584999328514766,0.853818075631479,0.7834810659580214,5.066643043971234
Pingan,42,Standard_LA,0.0,,,0.7568442431073149,0.7227617159459365,0.8968900569426194,0.8450978631229918,4.200384947317972
Pingan,42,Standard_LA,0.25,,,0.7665243488919359,0.7156955348262839,0.8963936341071689,0.8445755550814554,4.202172010951904
Pingan,42,Standard_LA,0.5,,,0.7715545263953009,0.7040995354528006,0.8946707548547234,0.8422382910781897,4.209437513772816
Pingan,42,Standard_LA,0.75,,,0.7713712759761304,0.6899617128761711,0.892071835304424,0.8385543585333376,4.2223963896406875
Pingan,42,Standard_LA,1.0,,,0.7704291693343126,0.6757677137808071,0.889297707694554,0.8346289009125376,4.241171717230738
Pingan,42,Standard_LA,1.25,,,0.7670605439536894,0.6620659853679335,0.8860271572492334,0.8299323688365147,4.26577172892521
Pingan,42,Standard_LA,1.5,,,0.7645711585650932,0.6494617716755797,0.8825521974010805,0.824963151570879,4.296058316378265
Pingan,42,Standard_LA,1.75,,,0.7614856156393481,0.6372689756079016,0.8792816469557599,0.8202959775985768,4.33176932407036
Pingan,42,Standard_LA,2.0,,,0.7588539329691393,0.6268725947499644,0.8761863045700102,0.8158232682708176,4.372557141443347
Pingan,123,Original_LTLC,0.0,0.0,,0.714285643150948,0.6656642602331048,0.8721565191998832,0.8087703647750782,4.202230391562376
